Station;date;time (gmt);lat;long;water depth (m);depth (m);temp (C);sal;fluor;trans;dens;PAR;BATH
1;30.10.2014;9,49;50.54.248;001.23.296;6,4;0,25;11,8518;27,9455;0,0607;0,7672;1021,1443;3501;19,27
1;30.10.2014;9,49;50.54.248;001.23.296;6,4;0,5;11,8654;27,8897;0,0644;1,6673;1021,0998;1158,4;16,42
1;30.10.2014;9,49;50.54.248;001.23.296;6,4;0,75;11,9709;28,9148;0,0705;1,8466;1021,8765;718,01;15,97
1;30.10.2014;9,49;50.54.248;001.23.296;6,4;1;12,1656;31,0134;0,0741;1,6191;1023,4688;552,04;16,48
1;30.10.2014;9,49;50.54.248;001.23.296;6,4;1,25;12,1207;30,4839;0,0717;1,5931;1023,0678;413,08;16,56
1;30.10.2014;9,49;50.54.248;001.23.296;6,4;1,5;12,1253;30,5652;0,0707;1,5453;1023,1311;295,31;16,68
1;30.10.2014;9,49;50.54.248;001.23.296;6,4;1,75;12,1264;30,5326;0,0708;1,5321;1023,1067;220,1;16,71
1;30.10.2014;9,49;50.54.248;001.23.296;6,4;2;12,1304;30,6153;0,069;1,5189;1023,1711;155,57;16,75
1;30.10.2014;9,49;50.54.248;001.23.296;6,4;2,25;12,1371;30,6577;0,0684;1,5051;1023,204;117,29;16,79
1;30.10.2014;9,49;50.54.248;001.23.296;6,4;2,5;12,168;31,1829;0,0684;1,4847;1023,6065;89,29;16,84
1;30.10.2014;9,49;50.54.248;001.23.296;6,4;2,75;12,2188;31,5399;0,0684;1,46;1023,8749;66,07;16,91
1;30.10.2014;9,49;50.54.248;001.23.296;6,4;3;12,2453;31,6129;0,068;1,4167;1023,9277;48,81;17,03
1;30.10.2014;9,49;50.54.248;001.23.296;6,4;3,25;12,2501;31,6624;0,0684;1,3231;1023,9663;37,39;17,3
1;30.10.2014;9,49;50.54.248;001.23.296;6,4;3,5;12,2571;31,71;0,0692;1,239;1024,003;28,19;17,56
1;30.10.2014;9,49;50.54.248;001.23.296;6,4;3,75;12,2595;31,7044;0,0694;1,1441;1023,9994;20,53;17,88
1;30.10.2014;9,49;50.54.248;001.23.296;6,4;4;12,2611;31,7141;0,0696;1,0972;1024,0077;14,83;18,05
1;30.10.2014;9,49;50.54.248;001.23.296;6,4;4,25;12,2626;31,7276;0,0693;1,0649;1024,019;10,54;18,17
1;30.10.2014;9,49;50.54.248;001.23.296;6,4;4,5;12,263;31,7295;0,0686;1,0511;1024,0215;8,08;18,22
1;30.10.2014;9,49;50.54.248;001.23.296;6,4;4,75;12,2663;31,8282;0,0693;1,0464;1024,0986;5,78;18,24
1;30.10.2014;9,49;50.54.248;001.23.296;6,4;5;12,27;31,9036;0,0704;1,0183;1024,1574;4,21;18,35
1;30.10.2014;9,49;50.54.248;001.23.296;6,4;5,25;12,2736;31,9506;0,0711;0,9845;1024,1943;3,03;18,48
1;30.10.2014;9,49;50.54.248;001.23.296;6,4;5,5;12,2746;31,9633;0,0736;1,0308;1024,2051;1,88;18,31
2;30.10.2014;10:01;50.53.957;001.23.106;6;0,25;12,156;30,6747;0,0652;0,7627;1023,2046;564,55;20,0319
2;30.10.2014;10:01;50.53.957;001.23.106;6;0,5;12,1932;30,6963;0,073;1,1455;1023,2157;269,07;17,9637
2;30.10.2014;10:01;50.53.957;001.23.106;6;0,75;12,2405;30,8642;0,0697;1,3038;1023,3382;167,62;17,3567
2;30.10.2014;10:01;50.53.957;001.23.106;6;1;12,2603;31,2341;0,0717;1,2635;1023,6222;134,14;17,4849
2;30.10.2014;10:01;50.53.957;001.23.106;6;1,25;12,2606;31,2385;0,0723;1,1566;1023,6267;103,57;17,8419
2;30.10.2014;10:01;50.53.957;001.23.106;6;1,5;12,2634;31,2556;0,073;1,0785;1023,6405;80,63;18,1197
2;30.10.2014;10:01;50.53.957;001.23.106;6;1,75;12,2674;31,2687;0,0713;1,0477;1023,6512;61,72;18,2344
2;30.10.2014;10:01;50.53.957;001.23.106;6;2;12,2655;31,275;0,0715;1,034;1023,6575;46;18,2871
2;30.10.2014;10:01;50.53.957;001.23.106;6;2,25;12,2578;31,3098;0,0717;1,0278;1023,687;34,18;18,3109
2;30.10.2014;10:01;50.53.957;001.23.106;6;2,5;12,2544;31,4485;0,0695;1,0144;1023,7963;26,03;18,3637
2;30.10.2014;10:01;50.53.957;001.23.106;6;2,75;12,2543;31,491;0,0692;1,0066;1023,8304;20,23;18,3947
2;30.10.2014;10:01;50.53.957;001.23.106;6;3;12,2542;31,5108;0,0694;1,0011;1023,847;15,16;18,4162
2;30.10.2014;10:01;50.53.957;001.23.106;6;3,25;12,2548;31,5381;0,0707;0,9332;1023,869;11,42;18,697
2;30.10.2014;10:01;50.53.957;001.23.106;6;3,5;12,2567;31,5741;0,0696;0,9103;1023,8978;8,67;18,7961
2;30.10.2014;10:01;50.53.957;001.23.106;6;3,75;12,2599;31,622;0,07;0,8651;1023,9354;6,74;19,0014
2;30.10.2014;10:01;50.53.957;001.23.106;6;4;12,2657;31,6912;0,0705;0,8159;1023,9891;5,02;19,2354
2;30.10.2014;10:01;50.53.957;001.23.106;6;4,25;12,2702;31,7432;0,0707;0,7714;1024,0297;3,62;19,4602
2;30.10.2014;10:01;50.53.957;001.23.106;6;4,5;12,2747;31,8075;0,071;0,7212;1024,0798;2,54;19,7295
2;30.10.2014;10:01;50.53.957;001.23.106;6;4,75;12,2797;31,8612;0,0723;0,6762;1024,1216;1,88;19,985
2;30.10.2014;10:01;50.53.957;001.23.106;6;5;12,2828;31,9219;0,0717;0,6443;1024,1692;1,24;20,18
2;30.10.2014;10:01;50.53.957;001.23.106;6;5,25;12,286;31,9759;0,0731;0,6047;1024,2116;0,79;20,4328
2;30.10.2014;10:01;50.53.957;001.23.106;6;5,5;12,2873;31,9823;0,0742;0,5631;1024,2175;0,49;20,7197
2;30.10.2014;10:01;50.53.957;001.23.106;6;5,75;12,2876;31,9824;0,0752;0,5377;1024,2186;0,31;20,9028
2;30.10.2014;10:01;50.53.957;001.23.106;6;6;12,2869;31,978;0,0758;0,5651;1024,2164;0,14;20,7131
2;30.10.2014;10:01;50.53.957;001.23.106;6;6,25;12,287;31,9921;0,0834;0,5536;1024,2285;-0,08;20,7992
3;30.10.2014;11:18;50.52.909;001.23.44;12,7;0,25;12,2813;31,3577;0,0609;1,8956;1023,7108;2183,1;15,8635
3;30.10.2014;11:18;50.52.909;001.23.44;12,7;0,5;12,2729;31,3553;0,0614;1,9442;1023,7116;940,24;15,7612
3;30.10.2014;11:18;50.52.909;001.23.44;12,7;0,75;12,2809;31,3337;0,0627;1,9187;1023,6945;1063,6;15,8139
3;30.10.2014;11:18;50.52.909;001.23.44;12,7;1;12,2761;31,3418;0,0628;1,9152;1023,7028;688,5;15,8214
3;30.10.2014;11:18;50.52.909;001.23.44;12,7;1,25;12,2739;31,3437;0,0634;1,9187;1023,7058;582,02;15,814
